"자치구","안심 주소","CCTV 용도","위도","경도","CCTV 수량","수정 일시"
"서대문구","궁동공원(화장실)3","도심공원","37.5699022479447","126.923442042686","1","2021-01-27"
"서대문구","궁동공원(화장실)4","도심공원","37.5699022479447","126.923442042686","1","2021-01-27"
"서대문구","한울소공원1(남가좌동152-17)","도심공원","37.570861","126.916511","1","2021-01-27"
"서대문구","한울소공원2","도심공원","37.570861","126.916511","1","2021-01-27"
"서대문구","한울소공원3","도심공원","37.570861","126.916511","1","2021-01-27"
"서대문구","한울소공원4","도심공원","37.570861","126.916511","1","2021-01-27"
"서대문구","궁동공원(실내체육관)(연희1동산118)","도심공원","37.5711587018084","126.925429667436","4","2021-01-27"
"서대문구","궁말어린이공원1(연희동86-3)","도심공원","37.5711687919085","126.933669830688","1","2021-01-27"
"서대문구","궁말어린이공원2","도심공원","37.5711687919085","126.933669830688","1","2021-01-27"
"서대문구","궁말어린이공원3","도심공원","37.5711687919085","126.933669830688","1","2021-01-27"
"서대문구","궁말어린이공원4","도심공원","37.5711687919085","126.933669830688","1","2021-01-27"
"서대문구","안산도시자연공원1(서대문구의회방면)","도심공원","37.5712756902961","126.953881568123","1","2021-01-27"
"서대문구","안산도시자연공원2","도심공원","37.5712756902961","126.953881568123","1","2021-01-27"
"서대문구","동구물어린이공원(연희동109-2)","도심공원","37.571353","126.928069","1","2021-01-27"
"서대문구","모래내어린이공원1(남가좌동274-28)","도심공원","37.5719681964179","126.914038024807","1","2021-01-27"
"서대문구","모래내어린이공원2","도심공원","37.5719681964179","126.914038024807","1","2021-01-27"
"서대문구","모래내어린이공원3","도심공원","37.5719681964179","126.914038024807","1","2021-01-27"
"서대문구","모래내어린이공원4","도심공원","37.5719681964179","126.914038024807","1","2021-01-27"
"서대문구","모래내어린이공원5","도심공원","37.5719681964179","126.914038024807","1","2021-01-27"
"서대문구","모래내어린이공원6","도심공원","37.5719681964179","126.914038024807","1","2021-01-27"
"서대문구","모래내어린이공원7","도심공원","37.5719681964179","126.914038024807","1","2021-01-27"
"서대문구","모래내어린이공원8","도심공원","37.5719681964179","126.914038024807","1","2021-01-27"
"서대문구","연희동 519-7(연서어린이공원)","도심공원","37.5721542588183","126.923376885914","9","2021-01-27"
"서대문구","독립문공원(통일로","도심공원","37.572158055","126.958959988","1","2021-01-27"
"서대문구","안산도시공원(구의회방향)(현저동107-505)","도심공원","37.5727133280709","126.952662668618","1","2021-01-27"
"서대문구","궁동근린공원(연희동188-42)","도심공원","37.5729414007571","126.927382476195","1","2021-01-27"
"서대문구","궁동근린공원1(연희동188-42)","도심공원","37.5729414007571","126.927382476195","1","2021-01-27"
"서대문구","궁동근린공원2(연희동188-42)","도심공원","37.5729414007571","126.927382476195","1","2021-01-27"
"서대문구","궁동근린공원3(연희동188-42)","도심공원","37.5729414007571","126.927382476195","1","2021-01-27"
"서대문구","궁동근린공원4(연희동188-42)","도심공원","37.5729414007571","126.927382476195","1","2021-01-27"
"서대문구","안산밤고개놀이터1(연희동196-25)","도심공원","37.5736482663061","126.930243223556","1","2021-01-27"
"서대문구","안산밤고개놀이터2(연희동196-25)","도심공원","37.5736482663061","126.930243223556","1","2021-01-27"
"서대문구","안산밤고개놀이터3(연희동196-25)","도심공원","37.5736482663061","126.930243223556","1","2021-01-27"
"서대문구","안산밤고개놀이터4(연희동196-25)","도심공원","37.5736482663061","126.930243223556","1","2021-01-27"
"서대문구","안산밤고개놀이터5(연희동196-25)","도심공원","37.5736482663061","126.930243223556","1","2021-01-27"
"서대문구","안산밤고개놀이터6(연희동196-25)","도심공원","37.5736482663061","126.930243223556","1","2021-01-27"
"서대문구","가재어린이공원1(남가좌동162-4)","도심공원","37.574108","126.918545","1","2021-01-27"
"서대문구","가재어린이공원10","도심공원","37.574108","126.918545","1","2021-01-27"
"서대문구","가재어린이공원11","도심공원","37.574108","126.918545","1","2021-01-27"
"서대문구","가재어린이공원12","도심공원","37.574108","126.918545","2","2021-01-27"
"서대문구","가재어린이공원2","도심공원","37.574108","126.918545","1","2021-01-27"
"서대문구","가재어린이공원3","도심공원","37.574108","126.918545","1","2021-01-27"
"서대문구","가재어린이공원4","도심공원","37.574108","126.918545","1","2021-01-27"
"서대문구","가재어린이공원5","도심공원","37.574108","126.918545","1","2021-01-27"
"서대문구","가재어린이공원6","도심공원","37.574108","126.918545","1","2021-01-27"
"서대문구","가재어린이공원7","도심공원","37.574108","126.918545","1","2021-01-27"
"서대문구","가재어린이공원8","도심공원","37.574108","126.918545","1","2021-01-27"
"서대문구","가재어린이공원9","도심공원","37.574108","126.918545","1","2021-01-27"
"서대문구","대궐재공원(연희3동73-8)","도심공원","37.5741212844019","126.937220296958","6","2021-01-27"
"서대문구","나비울어린이공원(수색로100-75(북가좌동472))","도심공원","37.5747804162137","126.909777174274","4","2021-01-27"
"서대문구","중앙근린공원(북가좌동115-6)","도심공원","37.5750514604028","126.913577155395","2","2021-01-27"
"서대문구","중앙근린공원9","도심공원","37.5750514604028","126.913577155395","1","2021-01-27"
"서대문구","안산자락길1(메타세콰이어화장실)","도심공원","37.5755317446942","126.940966105488","1","2021-01-27"
"서대문구","안산자락길2","도심공원","37.5755317446942","126.940966105488","1","2021-01-27"
"서대문구","안산자락길3","도심공원","37.5755317446942","126.940966105488","1","2021-01-27"
"서대문구","가좌공원(남가좌동376-4)","도심공원","37.5758675155227","126.920569250332","2","2021-01-27"
"서대문구","다람쥐어린이공원1(연희동151-49)","도심공원","37.5760378","126.934409","1","2021-01-27"
"서대문구","다람쥐어린이공원2(연희동151-49)","도심공원","37.5760378","126.934409","1","2021-01-27"
"서대문구","홍연마을마당(연희동723-15)","도심공원","37.576079","126.932603","1","2021-01-27"
"서대문구","연희푸르지오1(연희동717-12)","도심공원","37.576716","126.929982","1","2021-01-27"
"서대문구","연희푸르지오2(연희동717-12)","도심공원","37.576716","126.929982","1","2021-01-27"
"서대문구","연희푸르지오3(연희동717-12)","도심공원","37.576716","126.929982","1","2021-01-27"
"서대문구","연희푸르지오4(연희동717-12)","도심공원","37.576716","126.929982","1","2021-01-27"
"서대문구","연희동 151-32(연희지하차도위휴식공간)","도심공원","37.5768756308313","126.934319041221","2","2021-01-27"
"서대문구","갈매연어린이공원1(남가좌동 175-15)","도심공원","37.5773114000622","126.917231939433","19","2021-01-27"
"서대문구","안산자락길(비상벨)(홍제동산33-88)","도심공원","37.5777041988842","126.949717000692","1","2021-01-27"
"서대문구","안산자락길1","도심공원","37.5777041988842","126.949717000692","1","2021-01-27"
"서대문구","안산자락길2","도심공원","37.5777041988842","126.949717000692","1","2021-01-27"
"서대문구","안산자락길3","도심공원","37.5777041988842","126.949717000692","1","2021-01-27"
"서대문구","안산자락길4","도심공원","37.5777041988842","126.949717000692","1","2021-01-27"
