자치구,안심 주소,용도,위도,경도,수량,데이터기준일자
양천구,신정동 944-1,방범,37.505562,126.839591,5,2021-01-29
양천구,신정동 930-41,방범,37.505885,126.839848,1,2021-01-29
양천구,서울특별시 양천구 신정동 목동남로2길 63 ,방범,37.50594,126.86422,3,2021-01-29
양천구,서울특별시 양천구 신정동 남부순환로 700 ,방범,37.50687,126.84374,2,2021-01-29
양천구,서울특별시 양천구 신정동 남부순환로 700 ,방범,37.5069227,126.843572,1,2021-01-29
양천구,신정동 927-32,방범,37.507294,126.867254,4,2021-01-29
양천구,서울특별시 양천구 신정동 남부순환로 699 ,방범,37.5079227,126.844572,1,2021-01-29
양천구,서울특별시 양천구 신정동 목동남로4길 56 ,방범,37.508154,126.868383,3,2021-01-29
양천구,신정동 1293,방범,37.508563,126.8448379,3,2021-01-29
양천구,서울특별시 양천구 신정동 목동남로4길 6 ,방범,37.508586,126.865183,3,2021-01-29
양천구,서울특별시 양천구 신정동 목동남로4길 48 해외개발(주),방범,37.50898,126.86755,3,2021-01-29
양천구,서울특별시 양천구 신정동 목동남로4길 56 ,방범,37.5089963,126.868437,2,2021-01-29
양천구,서울특별시 양천구 신정동 목동동로2길 57 ,방범,37.509082,126.861976,3,2021-01-29
양천구,서울특별시 양천구 신정동 목동동로2길 57 ,방범,37.50922,126.86187,2,2021-01-29
양천구,서울특별시 양천구 신정동 목동남로 62 ,방범,37.5092651,126.8664276,2,2021-01-29
양천구,신정동 805-13,방범,37.50944,126.83707,3,2021-01-29
양천구,서울특별시 양천구 신정동 목동남로 68 삼우빌라,방범,37.509471,126.867973,4,2021-01-29
양천구,서울특별시 양천구 신정동 목동남로 62 ,방범,37.50965,126.86661,2,2021-01-29
양천구,신정동 1294,방범,37.50966361,126.8465025,4,2021-01-29
양천구,서울특별시 양천구 신정동 남부순환로 654 진덕빌딩,방범,37.5103597,126.841315,2,2021-01-29
양천구,신정동 276-7,방범,37.51044,126.86401,3,2021-01-29
